PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Sunway Montana,Sale,1450000.0,4,6,2900,Rashid Sukri
Sunway Montana,Sale,1700000.0,5,6,3900,Rashid Sukri
Sunway Montana,Sale,3250000.0,6,6,5100,Fitrie Othman
Sunway Montana,Sale,1300000.0,4,4,2708,Zaimah Zamri
Sunway Montana,Sale,3300000.0,5,6,5100,Mohd Alkmar
Sunway Montana,Sale,3400000.0,5,5,4800,Zheng Hong Tan
Sunway Montana,Sale,3100000.0,5,6,5100,Afiq Hazwan
Sunway Montana,Sale,1680000.0,5,4,2449,Zheng Hong Tan
Sunway Montana,Sale,1800000.0,4,4,3674,Lynn Lim
Sunway Montana,Sale,1650000.0,4,5,2670,Lynn Lim
Sunway Montana,Sale,3200000.0,5,5,4166,Lynn Lim
Sunway Montana,Sale,1790000.0,4,4,3674,Lynn Lim
Sunway Montana,Sale,2900000.0,5,5,4166,Shiqin Saidin
Sunway Montana,Sale,1799999.0,4,4,2294,Alan Chin
Sunway Montana,Sale,1380000.0,3,4,2294,Alan Chin
Sunway Montana,Sale,3111111.0,5,6,4166,Alan Chin
Sunway Montana,Sale,1650000.0,4,4,2700,Alan Chin
Sunway Montana,Sale,1800000.0,5,5,3584,Alan Chin
Sunway Montana,Sale,2299000.0,5,5,3584,Alan Chin
Sunway Montana,Sale,1680000.0,3,4,2294,Alan Chin
Sunway Montana,Sale,3400000.0,7,7,4166,Alan Chin
Sunway Montana,Sale,1800000.0,5,6,3600,Hugo Gooi
Sunway Montana,Sale,1950000.0,5,6,3670,Hugo Gooi
Sunway Montana,Sale,1500000.0,4,4,2400,PeiGee .
Sunway Montana,Sale,1700000.0,4,4,2700,PeiGee .
Sunway Montana,Sale,1800000.0,5,6,3600,PeiGee .
Sunway Montana,Sale,3400000.0,5,6,4600,PeiGee .
Sunway Montana,Sale,1530000.0,4,4,2449,William Wong
Sunway Montana,Sale,1450000.0,4,4,2718,William Wong
Sunway Montana,Sale,1900000.0,4,4,3583,William Wong
Sunway Montana,Sale,3200000.0,5,5,4166,Lynn Lim
Sunway Montana,Sale,1650000.0,4,5,2696,Lynn Lim
Sunway Montana,Sale,1790000.0,4,4,3674,Lynn Lim
Sunway Montana,Sale,3250000.0,5,6,5100,Hasnol Hafiz
Sunway Montana,Sale,3500000.0,7,7,4166,Hariz Razak
Sunway Montana,Sale,3250000.0,5,6,5100,Habib Rehmen
Sunway Montana,Sale,3200000.0,4,4,4146,Lynn Lim
Sunway Montana,Sale,3500000.0,6,6,4600,David Chung
Sunway Montana,Sale,1550000.0,4,4,2293,David Chung
Sunway Montana,Sale,1700000.0,4,4,2293,David Chung
Sunway Montana,Sale,1550000.0,4,4,2293,David Chung
Sunway Montana,Sale,1850000.0,4,4,3600,David Chung
Sunway Montana,Sale,1650000.0,4,4,2800,Rashid Sukri
Sunway Montana,Sale,1880000.0,4,4,2210,JC Tai
Sunway Montana,Sale,1900000.0,4,4,3687,Amir Fauzi
Sunway Montana,Sale,2299000.0,6,5,3600,Gerald Ng
Sunway Montana,Sale,3000000.0,5,6,4166,William Wong
