PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Richmont Residences,Sale,1080000.0,6,7,2700,Swee Xiong
Richmont Residences,Sale,1150000.0,6,7,2700,Fibo Law
Richmont Residences,Sale,1100000.0,6,7,2700,Weng Sern
Richmont Residences,Sale,1080000.0,6,7,2700,Kenny Lee Chung Chern
Richmont Residences,Sale,1150000.0,6,7,2700,Dominic Ong
Richmont Residences,Sale,1150000.0,6,7,2700,Meng .
Richmont Residences,Sale,1100000.0,6,6,2700,Desmond .
Richmont Residences,Sale,1100000.0,6,7,2700,Meng .
Richmont Residences,Sale,1080000.0,6,7,2700,Fanny Moey
Richmont Residences,Sale,1080000.0,6,6,2700,Tracy Tan
Richmont Residences,Sale,1080000.0,6,7,2700,Alex Cheah
Richmont Residences,Sale,1080000.0,6,7,2700,Jia Yong
Richmont Residences,Sale,1080000.0,6,5,2700,Alex Cheah
Richmont Residences,Sale,1150000.0,6,7,2700,Jia Yong
Richmont Residences,Sale,1100000.0,6,7,2700,Joshua Lee
Richmont Residences,Sale,1100000.0,6,7,2700,OK Cheah
Richmont Residences,Sale,1080000.0,6,7,2700,Correen Lee
Richmont Residences,Sale,1100000.0,6,7,2700,WK Yam
Richmont Residences,Sale,1080000.0,6,7,2700,Lilly .
Richmont Residences,Sale,1080000.0,6,7,2700,Zhonl Saw Boon Loong
Richmont Residences,Sale,1150000.0,6,7,2700,Lilly .
Richmont Residences,Sale,1080000.0,7,6,2700,Correen Lee
Richmont Residences,Sale,1100000.0,6,7,2700,Fibo Law
Richmont Residences,Sale,1150000.0,6,7,2700,Kevin Lim
Richmont Residences,Sale,1150000.0,6,6,3000,Loh EC
Richmont Residences,Sale,1080000.0,6,7,2700,Jia Yong
Richmont Residences,Sale,1100000.0,6,7,2700,Zhonl Saw Boon Loong
Richmont Residences,Sale,1150000.0,6,7,2700,Zhonl Saw Boon Loong
Richmont Residences,Sale,1200000.0,5,5,2700,Zhonl Saw Boon Loong
Richmont Residences,Sale,1200000.0,6,6,2700,Jerome Eng
Richmont Residences,Sale,1080000.0,6,7,2700,Max Tay
Richmont Residences,Sale,1080000.0,6,7,2700,Elaine Yeoh
Richmont Residences,Sale,1080000.0,6,7,2700,Zhonl Saw Boon Loong
Richmont Residences,Sale,1150000.0,6,7,2700,Nigel Cheon
Richmont Residences,Sale,1080000.0,6,7,2700,Jia Yong
Richmont Residences,Rent,2200.0,6,7,2700,Kevin Lim
Richmont Residences,Rent,2200.0,6,7,2700,Suzanne Ang
Botanica.CT @ Balik Pulau Penang,Sale,899000.0,4,3,1950,Khoo .
Botanica.CT @ Balik Pulau Penang,Sale,588000.0,4,3,1600,Jia Yong
Botanica.CT @ Balik Pulau Penang,Sale,720000.0,4,3,2000,Jia Yong
