PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Damaipuri Condominium,Sale,680000.0,3,2,1915,Nicholas Lee
Damaipuri Condominium,Sale,550000.0,3,2,1346,Nicholas Lee
Damaipuri Condominium,Sale,500000.0,4,4,1632,Elaine Lau
Damaipuri Condominium,Sale,500000.0,4,3,1600,Mandy Phang
Damaipuri Condominium,Sale,500000.0,3,4,1600,Andrew Kan
Damaipuri Condominium,Sale,600000.0,4,3,1914,Connie Lam
Damaipuri Condominium,Sale,500000.0,4,3,1630,Connie Lam
Damaipuri Condominium,Sale,540000.0,3,2,1280,Angielina Chooi
Damaipuri Condominium,Sale,500000.0,4,4,1600,Vincent Chin
Damaipuri Condominium,Sale,500000.0,4,4,1600,Vivian Foong
Damaipuri Condominium,Sale,540000.0,3,2,1280,Nicholas Lee
Damaipuri Condominium,Sale,550000.0,4,4,1603,ANN SIEW
Damaipuri Condominium,Sale,500000.0,4,4,1604,Eric Loo
Damaipuri Condominium,Sale,520000.0,3,4,1631,ANN SIEW
Damaipuri Condominium,Sale,590000.0,3,2,1755,Kinki Lee
Damaipuri Condominium,Sale,550000.0,4,3,1456,Munyee Leong
Damaipuri Condominium,Sale,500000.0,3,4,1604,Deanna Lim
Damaipuri Condominium,Sale,540000.0,3,2,1280,Angielina Chooi
Damaipuri Condominium,Sale,700000.0,4,4,1600,Frederica Siew
Damaipuri Condominium,Sale,650000.0,4,3,1915,Nicholas Lee
Damaipuri Condominium,Sale,550000.0,4,3,1456,Angie Wong
Damaipuri Condominium,Sale,480000.0,3,2,1364,Jodie Kuan
Damaipuri Condominium,Sale,550000.0,3,2,1280,Tew Wai Lun
Damaipuri Condominium,Sale,680000.0,3,3,1786,David Wong
Damaipuri Condominium,Sale,550000.0,3,3,1456,David Wong
Damaipuri Condominium,Rent,2300.0,4,4,1680,Alvin Soon
Damaipuri Condominium,Rent,2300.0,4,4,1680,Steven Chong
Damaipuri Condominium,Rent,1800.0,4,2,1631,Jessey Ng
Damaipuri Condominium,Rent,1900.0,3,3,1500,Nicole Ling
Damaipuri Condominium,Rent,1700.0,3,3,1600,Kang .
Damaipuri Condominium,Rent,1600.0,3,2,1200,Mandy Phang
Damaipuri Condominium,Rent,2000.0,4,4,1500,Hui En .
Damaipuri Condominium,Rent,2000.0,4,4,1600,Jimmy Liew
Damaipuri Condominium,Rent,2000.0,3,3,1800,JJ Teo
Damaipuri Condominium,Rent,2000.0,3,2,1300,Vivien Lim
Damaipuri Condominium,Rent,1800.0,3,3,1573,Sharon Poh
Damaipuri Condominium,Rent,2000.0,3,3,1800,Ms Yong
Damaipuri Condominium,Rent,1600.0,3,3,1200,Angielina Chooi
Damaipuri Condominium,Rent,1700.0,3,4,1600,Angielina Chooi
Damaipuri Condominium,Rent,1700.0,4,4,1600,Vincent Chin
Damaipuri Condominium,Rent,1600.0,3,3,1200,Vincent Chin
Damaipuri Condominium,Rent,1700.0,4,4,1600,Vivian Foong
Damaipuri Condominium,Rent,1600.0,3,3,1200,Vivian Foong
Damaipuri Condominium,Rent,2000.0,3,3,1800,Sam .
Damaipuri Condominium,Rent,1600.0,3,3,1200,Andrew Kan
Damaipuri Condominium,Rent,1700.0,4,4,1600,Cherie Chong
Damaipuri Condominium,Rent,1600.0,3,3,1200,Cherie Chong
Damaipuri Condominium,Rent,2200.0,3,3,1786,Munyee Leong
Damaipuri Condominium,Rent,2500.0,3,3,1915,Darren Lee
Damaipuri Condominium,Rent,2400.0,4,4,1905,Darren Lee
Damaipuri Condominium,Rent,1900.0,3,3,1573,Darren Lee
Damaipuri Condominium,Rent,2000.0,3,3,1800,Darren Lee
Damaipuri Condominium,Rent,2000.0,4,3,1800,Avic Wong
Damaipuri Condominium,Rent,1600.0,3,2,1200,Mandy Phang
Damaipuri Condominium,Rent,1900.0,3,3,1913,Angielina Chooi
Damaipuri Condominium,Rent,1900.0,3,4,2000,Avic Wong
Damaipuri Condominium,Rent,1800.0,3,2,1364,Christine Lau
Damaipuri Condominium,Rent,2500.0,4,3,1785,Angie Wong
Damaipuri Condominium,Rent,2400.0,4,4,1900,Avic Wong
Damaipuri Condominium,Rent,1800.0,3,2,1300,Eric Loo
Damaipuri Condominium,Rent,1800.0,3,3,1200,Eddie Yen
Damaipuri Condominium,Rent,1600.0,3,3,1600,Megan Chee
Damaipuri Condominium,Rent,1900.0,3,3,1573,Mr Yuen
Damaipuri Condominium,Rent,2350.0,4,3,1914,Tew Wai Lun
Damaipuri Condominium,Rent,1700.0,3,4,1573,Tew Wai Lun
Damaipuri Condominium,Rent,1800.0,2,2,1300,Hui En .
Damaipuri Condominium,Rent,2000.0,4,4,2000,Hui En .
Damaipuri Condominium,Rent,2600.0,3,2,1785,JJ Teo
Damaipuri Condominium,Rent,1800.0,3,3,1300,Avic Wong
Damaipuri Condominium,Rent,1800.0,2,3,1300,Avic Wong
Damaipuri Condominium,Rent,1800.0,3,3,1248,JJ Teo
Damaipuri Condominium,Rent,2000.0,4,4,2000,JJ Teo
Damaipuri Condominium,Rent,1800.0,2,3,1300,JJ Teo
Damaipuri Condominium,Rent,1800.0,3,2,1100,Vivien Lim
Meru Heights Residences @ Scientex Meru,Sale,330000.0,3,2,981,James Cheah
Meru Heights Residences @ Scientex Meru,Sale,398000.0,4,3,1500,Stonex Voon
Meru Heights Residences @ Scientex Meru,Sale,338000.0,2,2,861,Gary Tang
Meru Heights Residences @ Scientex Meru,Sale,279000.0,2,1,861,P M Chan
Meru Heights Residences @ Scientex Meru,Sale,279000.0,2,2,861,CY Leong
Meru Heights Residences @ Scientex Meru,Sale,192000.0,3,2,981,James Cheah
Meru Heights Residences @ Scientex Meru,Sale,365000.0,,,8105,Anis Anuar
Meru Heights Residences @ Scientex Meru,Sale,310000.0,2,2,861,P M Chan
Meru Heights Residences @ Scientex Meru,Sale,328000.0,3,2,981,Kelvin Chong
Meru Heights Residences @ Scientex Meru,Rent,1050.0,2,2,812,Jeff Tan
Meru Heights Residences @ Scientex Meru,Rent,1300.0,3,2,890,Kate .
Meru Heights Residences @ Scientex Meru,Rent,1500.0,3,2,981,Nicole Ling
Meru Heights Residences @ Scientex Meru,Rent,1500.0,3,2,1100,Yuki Leong
Meru Heights Residences @ Scientex Meru,Rent,1400.0,2,2,850,Eddie Yen
Meru Heights Residences @ Scientex Meru,Rent,900.0,2,2,855,Kate .
Meru Heights Residences @ Scientex Meru,Rent,1400.0,2,2,988,Jeff Tan
Meru Heights Residences @ Scientex Meru,Rent,1400.0,3,2,981,Kelvin Chong
Meru Heights Residences @ Scientex Meru,Rent,1400.0,3,2,951,Vivien Lim
Meru Heights Residences @ Scientex Meru,Rent,1300.0,3,2,952,Kate .
Meru Heights Residences @ Scientex Meru,Rent,1400.0,3,2,1000,Steven Chong
Meru Heights Residences @ Scientex Meru,Rent,1400.0,3,2,1135,Mandy Phang
Meru Heights Residences @ Scientex Meru,Rent,900.0,2,2,812,Ms Yong
Meru Heights Residences @ Scientex Meru,Rent,1150.0,2,2,812,Vivien Lim
Meru Heights Residences @ Scientex Meru,Rent,1150.0,2,2,812,Ben Soon
Meru Heights Residences @ Scientex Meru,Rent,1500.0,3,2,1000,Ms Yong
Meru Heights Residences @ Scientex Meru,Rent,1500.0,3,2,1000,Sharon Poh
Meru Heights Residences @ Scientex Meru,Rent,1100.0,2,2,850,Jeff Tan
Meru Heights Residences @ Scientex Meru,Rent,1100.0,3,2,900,Sam Lam
Meru Heights Residences @ Scientex Meru,Rent,1400.0,2,2,800,Angielina Chooi
Meru Heights Residences @ Scientex Meru,Rent,1400.0,3,2,981,Angielina Chooi
Meru Heights Residences @ Scientex Meru,Rent,1000.0,3,2,981,Andrew Kan
Meru Heights Residences @ Scientex Meru,Rent,1000.0,3,2,981,Kingsley Wong
Meru Heights Residences @ Scientex Meru,Rent,1200.0,2,2,851,Kelvin Chong
Meru Heights Residences @ Scientex Meru,Rent,1100.0,3,2,981,Vivien Lim
Meru Heights Residences @ Scientex Meru,Rent,1200.0,3,2,1200,Kingsley Wong
Meru Heights Residences @ Scientex Meru,Rent,1500.0,2,2,855,Ms Yong
Meru Heights Residences @ Scientex Meru,Rent,1400.0,2,2,951,Nicole Ling
Meru Heights Residences @ Scientex Meru,Rent,900.0,2,2,850,Nicole Ling
Meru Heights Residences @ Scientex Meru,Rent,1400.0,2,2,951,Vincent Chin
Meru Heights Residences @ Scientex Meru,Rent,1200.0,2,2,855,Mandy Phang
Meru Heights Residences @ Scientex Meru,Rent,800.0,2,2,850,Vivien Lim
Meru Heights Residences @ Scientex Meru,Rent,1150.0,2,2,812,Ms Yong
Meru Heights Residences @ Scientex Meru,Rent,1200.0,3,2,981,Vivien Lim
Meru Heights Residences @ Scientex Meru,Rent,1200.0,2,2,800,Steven Chong
Meru Heights Residences @ Scientex Meru,Rent,1150.0,2,2,812,Sam .
Lumut Waterfront Villa,Sale,250000.0,2,2,737,Desmond Choong
Upper East @ Tiger Lane,Sale,400000.0,3,2,1162,SUEKI LAI
Upper East @ Tiger Lane,Sale,499999.0,3,2,1162,Joy Ho
Upper East @ Tiger Lane,Sale,699000.0,5,3,1507,Joy Ho
Upper East @ Tiger Lane,Sale,480000.0,3,2,1162,Joy Ho
Upper East @ Tiger Lane,Sale,725000.0,3,2,1507,David Wong
Upper East @ Tiger Lane,Sale,480000.0,3,2,1162,Megan Chee
Upper East @ Tiger Lane,Sale,460000.0,3,2,1162,Crystal Hor
Upper East @ Tiger Lane,Sale,500000.0,3,2,1162,Crystal Hor
Upper East @ Tiger Lane,Sale,498000.0,3,2,1162,Sook Yee
Upper East @ Tiger Lane,Sale,520000.0,5,3,1507,Steven .
Upper East @ Tiger Lane,Sale,430000.0,3,2,1162,Steven .
Upper East @ Tiger Lane,Sale,620000.0,3,2,1162,Rachel Choo
Upper East @ Tiger Lane,Sale,750000.0,4,3,1507,Munyee Leong
Upper East @ Tiger Lane,Sale,460000.0,3,2,1162,Christina Teh
Upper East @ Tiger Lane,Sale,520000.0,3,2,1162,Nicholas Lee
Upper East @ Tiger Lane,Sale,430000.0,3,2,1162,Steven .
Upper East @ Tiger Lane,Sale,580000.0,3,2,1162,Munyee Leong
Upper East @ Tiger Lane,Sale,520000.0,3,2,1162,Joy Ho
Upper East @ Tiger Lane,Sale,518000.0,3,2,1062,Ken Liew
Upper East @ Tiger Lane,Sale,680000.0,3,2,1162,Christina Teh
Upper East @ Tiger Lane,Sale,520000.0,5,3,1507,Steven .
Upper East @ Tiger Lane,Sale,750000.0,5,3,1507,Angie Wong
Upper East @ Tiger Lane,Sale,515000.0,3,2,1162,Steven .
Upper East @ Tiger Lane,Sale,500000.0,3,2,1160,Ck Max
Upper East @ Tiger Lane,Sale,480000.0,3,2,1162,Christina Teh
Upper East @ Tiger Lane,Sale,430000.0,3,2,1162,Steven .
Upper East @ Tiger Lane,Sale,500000.0,3,2,1162,Steven .
Upper East @ Tiger Lane,Sale,530000.0,3,2,1162,Tew Wai Lun
Upper East @ Tiger Lane,Sale,520000.0,3,2,1162,Tew Wai Lun
Upper East @ Tiger Lane,Sale,520000.0,5,3,1507,Steven .
Upper East @ Tiger Lane,Sale,480000.0,3,2,1100,Louise Loo
Upper East @ Tiger Lane,Sale,520000.0,5,3,1507,Steven .
Upper East @ Tiger Lane,Rent,2200.0,3,2,1200,Yuki Leong
Upper East @ Tiger Lane,Rent,2200.0,3,2,1162,Angie Wong
Upper East @ Tiger Lane,Rent,2000.0,3,2,1200,Calvin Chai
Upper East @ Tiger Lane,Rent,1900.0,3,2,1100,Calvin Chai
Upper East @ Tiger Lane,Rent,2100.0,3,2,1162,Calvin Chai
Upper East @ Tiger Lane,Rent,1980.0,3,2,1162,Christina Teh
Upper East @ Tiger Lane,Rent,2200.0,3,3,1100,Megan Chee
Upper East @ Tiger Lane,Rent,2000.0,3,2,1162,Crystal Hor
Upper East @ Tiger Lane,Rent,2200.0,3,2,1162,Angie Wong
Upper East @ Tiger Lane,Rent,2200.0,3,2,1162,Kingsley Wong
Upper East @ Tiger Lane,Rent,2700.0,3,3,1500,Megan Chee
Upper East @ Tiger Lane,Rent,2200.0,3,2,1162,Andrew Kan
Upper East @ Tiger Lane,Rent,2000.0,3,2,1132,Nicholas Lee
Upper East @ Tiger Lane,Rent,2100.0,3,2,1162,Crystal Hor
Upper East @ Tiger Lane,Rent,1300.0,Studio,Studio,450,Sam .
Upper East @ Tiger Lane,Rent,2900.0,4,3,1507,Christina Teh
Upper East @ Tiger Lane,Rent,2100.0,3,2,1162,Angielina Chooi
Upper East @ Tiger Lane,Rent,2100.0,3,2,1162,Munyee Leong
Upper East @ Tiger Lane,Rent,2200.0,3,2,1162,Christine Lee
Upper East @ Tiger Lane,Rent,2200.0,3,2,1162,Vivian Foong
Upper East @ Tiger Lane,Rent,2200.0,3,2,1162,Munyee Leong
Upper East @ Tiger Lane,Rent,2300.0,3,2,1162,Angie Wong
Upper East @ Tiger Lane,Rent,2100.0,3,2,1162,Christina Teh
Upper East @ Tiger Lane,Rent,2200.0,3,2,1162,Alan Leong
Upper East @ Tiger Lane,Rent,2200.0,3,2,1162,Lucas Yau
Upper East @ Tiger Lane,Rent,2200.0,3,2,1162,Jean Ho
Upper East @ Tiger Lane,Rent,1800.0,3,2,1080,Mandy Phang
Upper East @ Tiger Lane,Rent,2100.0,3,2,1000,Mandy Phang
